Date,Upright-Pct Volatility-21,Inverted-Pct Volatility-21,Reflecting-Pct Volatility-21,Upright-Markets Money-21,Inverted-Markets Money-21,Reflecting-Markets Money-21,Upright-MultiTier-21,Inverted-MultiTier-21,Reflecting-MultiTier-21,Upright-Pct Volatility-45,Inverted-Pct Volatility-45,Reflecting-Pct Volatility-45,Upright-Markets Money-45,Inverted-Markets Money-45,Reflecting-Markets Money-45,Upright-MultiTier-45,Inverted-MultiTier-45,Reflecting-MultiTier-45
2006-06-02,-2.5128627597270635e-05,-2.622688941887515e-05,-3.5539769226008065e-05,-3.875297151041772e-05,-2.945117291712762e-05,-6.0808776818876976e-05,-3.975695569998402e-05,-2.7968935951842393e-05,-8.55498660208361e-05,-3.081202353991304e-05,-1.3833254440072847e-05,-2.2118488308882818e-05,-3.5285362252938474e-05,-2.8502570323237404e-05,-3.439738467413041e-05,-5.965684639973971e-05,-3.4794484517182885e-05,-4.5917761542494756e-05
2006-06-05,-0.00016333864269772272,-0.00015132286522947144,-0.00023935702764579607,-0.0001995961522491707,-0.0001942022360806724,-0.00027581767981621486,-0.0002808209066070599,-0.0002718254497169966,-0.0003939018116358624,-0.0003887433530745832,-0.00035899012874860786,-0.0003979200617545938,-0.0005938004607872267,-0.0005368591361087805,-0.0005914699965167395,-0.000861702969391002,-0.000776522217328864,-0.0008629094364236978
2006-06-06,-2.2749924099267164e-06,-1.7597151439896486e-06,3.243502148871554e-05,-7.995096642228934e-06,-7.209056938543382e-06,3.3204966767175215e-05,6.001898238779576e-06,7.192948167030385e-06,5.3572301601534364e-05,-8.608377067255886e-05,-7.833018420196532e-05,-5.150778262242491e-05,-0.00019579181851618886,-0.0001767136543185536,-0.00015951321687493285,-0.0002826248364201126,-0.0002557966376721751,-0.0002268595349161462
2006-06-07,2.3668060661500658e-05,2.2701133629158637e-05,6.785373253355894e-06,3.4757503411035154e-05,3.2890944653677735e-05,1.798901445332716e-05,4.474184198023738e-05,4.218228126511292e-05,2.3849914351655362e-05,-7.37181394873406e-05,-6.491112474142173e-05,-6.750209571643924e-05,-0.00011564697922226882,-9.165775659257432e-05,-9.19072800853941e-05,-0.00017507745439688805,-0.00013853731822022948,-0.00013793478548480934
2006-06-08,-0.00010494697375285818,-0.00010475221969763471,-7.625746079283901e-05,-7.641173285009018e-05,-7.499295207524422e-05,-4.36609707026155e-05,-6.906522039425618e-05,-6.657887439300106e-05,-2.2102611272042013e-05,-7.241591343285133e-05,-7.272898005971455e-05,7.78020407964893e-05,-4.13378084918777e-05,-4.039327831754831e-05,9.621169627861044e-05,-6.54081510884382e-05,-6.389113471844861e-05,0.00014181574779426794
2006-06-09,-7.661792580472282e-05,-7.423028050495735e-05,-0.0001177471008409814,-6.570072100388809e-05,-6.159383741214386e-05,-0.00011652802684419816,-6.718892767585787e-05,-6.091182144591922e-05,-0.00014550100120227504,-0.00011817611221053663,-0.00012215329209345945,0.00013640590778504953,-0.0001088524887875475,-0.00011379716379690263,6.148429565064154e-05,-0.0001614469648648161,-0.00016856475933082113,9.657180064866673e-05
2006-06-12,-6.912895480168565e-05,-6.121341691469606e-05,-0.0001409129546338909,-8.05185557765912e-05,-6.947731959635605e-05,-0.00013157337316001735,-0.00012002766196860619,-0.00010407961799165551,-0.00016015683656670128,-0.00014468186741453855,-0.00014510247226018718,-0.00014013243038905795,-0.00014006364255146527,-0.00013989701836489843,-0.0001429604764423368,-0.00020760354649593433,-0.00020769619679775382,-0.00020987376960282338
2006-06-13,2.6548343197740908e-05,2.1426024230952746e-05,-2.783977275344999e-05,1.7432509255891717e-05,1.0480752914225159e-05,-1.1714277313923383e-05,2.4312279398290098e-05,1.4378281715251203e-05,1.6428712501885083e-06,2.5130885317488822e-05,2.368550368937461e-05,-3.914988738280556e-05,8.180688131313266e-06,6.056696715606158e-06,-4.7644604736359526e-05,1.2381441210910598e-05,9.514121831806961e-06,-6.997204402322913e-05
2006-06-14,4.964431972742655e-06,1.0911708119006509e-05,4.2773407950406446e-05,1.6654312755278364e-05,2.482981178669371e-05,5.1848581107756995e-05,1.87225586849397e-05,3.080701228868795e-05,6.477697882092403e-05,2.5265996764197347e-05,2.5226923360747538e-05,4.8179593725413324e-05,4.538529185564855e-05,4.523972937366949e-05,8.335300648060947e-05,6.149507964933557e-05,6.145853304764618e-05,0.0001154603370152792
2006-06-15,8.807240109148425e-05,8.84748247416874e-05,8.937711660674437e-05,9.78517283132955e-05,0.00010951463302567576,9.75456494128557e-05,0.00013656612972802186,0.0001431847541838042,0.00011722960712891398,0.000127894328850157,0.00012758466240162154,0.00016323235770083027,0.0001621466060584442,0.0001704794822183775,0.0002350589120068432,0.00022757304943284615,0.00023851464674914022,0.00030879847060862146
